id,subject,question,ans_one,ans_two,ans_three,c_ans,q_type
147,C,Which function reads a character?,scanf(),getchar(),gets(),B,Average
148,C,Which operator accesses value at an address?,*,&,%,A,Easy
149,C,What is the output of 5/2?,2.5,2,3,B,Easy
150,C,Which concept is not in C?,Encapsulation,Recursion,Pointers,A,Hard
151,C,Which feature of C allows function calls inside functions?,Encapsulation,Recursion,Polymorphism,B,Average
152,C,Which memory is used by global variables?,Heap,Stack,Data segment,C,Hard
153,C,Which operator is used for conditional execution?,if,?:,switch,B,Hard
154,C,Which type specifier is used for unsigned int?,u,unsigned,uns,B,Easy
175,Database,Which SQL command is used to retrieve data from a database?,SELECT,INSERT,UPDATE,A,Easy
176,Database,What does DDL stand for in SQL?,Data Definition Language,Data Description Language,Data Design Language,A,Easy
177,Database,Which SQL clause is used to filter rows?,WHERE,ORDER BY,GROUP BY,A,Easy
178,Database,Which type of key uniquely identifies a record in a table?,Foreign Key,Primary Key,Candidate Key,B,Easy
179,Database,What is the default sorting order in SQL?,Ascending,Descending,Random,A,Easy
180,Database,Which command is used to remove a table from the database?,DROP TABLE,DELETE TABLE,REMOVE TABLE,A,Average
181,Database,Which constraint ensures that a column cannot have NULL values?,CHECK,NOT NULL,UNIQUE,B,Average
182,Database,Which SQL function is used to count rows?,COUNT(),SUM(),MAX(),A,Average
183,Database,Which operator is used with WHERE to search for a pattern?,LIKE,IN,BETWEEN,A,Average
184,Database,Which join returns all rows when there is a match in one of the tables?,LEFT JOIN,FULL JOIN,INNER JOIN,B,Average
185,Database,Which normal form eliminates partial dependency?,1NF,2NF,3NF,B,Hard
186,Database,Which SQL keyword is used to combine the result of two queries?,UNION,INTERSECT,MERGE,A,Hard
187,Database,Which indexing method stores data in a tree structure?,Hash Indexing,B-Tree Indexing,Bitmap Indexing,B,Hard
188,Database,Which type of SQL command is COMMIT?,DDL,DCL,TCL,C,Hard
189,Database,Which anomaly occurs when data redundancy leads to inconsistency?,Insertion Anomaly,Update Anomaly,Deletion Anomaly,B,Hard
190,Database,Which isolation level prevents dirty reads?,Read Committed,Read Uncommitted,Serializable,A,Hard
191,Database,Which SQL function is used to find the highest value?,MIN(),MAX(),TOP(),B,Average
192,Database,Which SQL keyword is used to sort results?,ORDER BY,SORT BY,ARRANGE,A,Easy
193,Database,Which of these is not a type of SQL join?,INNER JOIN,OUTER JOIN,CROSS MERGE,C,Average
194,Database,Which database model organizes data into tables with rows and columns?,Hierarchical Model,Relational Model,Network Model,B,Easy
